a-profile-name,Ratings,Date_time,Reviews
Nick E.,5.0,"August 5, 2016","I'd say I'm a normal coffee drinker. This makes me coffee every morning and does a great job. I have had zero complaints about this machine. I don't expect it to last forever, but I also only paid $30 for it. So far its been working great, I actually am planning on buying one for my wife so she can bring it to work with her. I have the thermal pot as well which does a great job, but the glass is the normal day to day work horse.I do buy the filters ($7.75 for an 12 pack) just because I don't like our city water much, and they seem to do the job alright, I notice when I don't use them.Overall, I'd say when you compare to a $20 coffee pot that can do the same work as this one, the little add-on's this has is worth the extra $10. I don't know what else I expect it to do other than keep correct time and go off every morning so I can come out of the shower to a fresh pot of coffee, and it does that well. 5 stars for doing exactly as expected!Edit: it's almost 2019... It's still being used daily. The heating pad is looking a bit rusty but hasn't affected performance in the slightest."
Renee M. Winterbauer,5.0,"June 30, 2021","Since our purchase of this coffee pot 2016, Mr. Coffee Pot is still going strong!  we make 1 pot of coffee a day (rain or shine).  This coffee pot is simple to use.  We are surprised that the coffee maker still has the new look to it and nothing has tarnished or worn out.  We clean it fairly often too.  The hot plate is slightly worn but does not affect performance and is not noticeable unless you remove the pot.  Important to note: For us, we do make the coffee and turn off the coffee about 15 minutes after brewing and remove the coffee grounds.  Just a habit since we don't like to leave electrical items unattended if we are not in the room.  We have owned more elaborate and expensive coffee pots that usually stop working after a year or two or repeated use.  This coffee pot has saved considerable cost of replacement!"
Pamela Audeen  Poddany,5.0,"January 12, 2015","MR. COFFEE 12-CUP PROGRAMMABLE COFFEEMAKER, CHROMEIt was time for us to purchase another coffeemaker and having one of these currently, we decided to purchase another one just like it.  My hubby drinks decaf only and I drink 'real' coffee, so for us, having two coffeemakers is a must.You can't go wrong with the MR. COFFEE 12-CUP coffeemaker.  There are so many great things about this unit --Looks great sitting on your kitchen counterPause control -- can't wait?  Remove the pot and the brewing will stop so you can pour your coffee NOWAutomatically shuts off after being on for two hours -- beeps when shutting offAfter coffee is brewed and is ready to enjoy, a beep sounds to get your attentionRemovable filter basket for easy disposal of grounds and cleaningNice and clear water window on the side for easy fillingCord storage in the back so you may hide that unsightly cordBrew strength available from regular to strong blendMy only quibble would be that the digital clock is somewhat hard to read.This particular coffeemaker has won BEST in the category for three years -- 2011 - 2012 - 2013.  The carafe is available in thermal or glass and the unit is self-cleaning.  We use good old white vinegar and this works well.If you are in need of a new coffeemaker, this is the one for you.  Not only does the coffee taste wonderful, rich, hot, fresh, and delicious each time, but the coffeemaker itself is attractive and you can' beat the price,  Start your day off the right way with a superb cup of coffee brewed in your new Mr. Coffee.Thank you."
Rye Nienke,5.0,"December 23, 2014","Now that I've had this for a year and more than 100 uses I figured I would get a review in.I haven't had a single issue with this coffee maker that wasn't user error. It plainly works and works well.I initially bought this based on good reviews and the ability to get a thermal carafe at some point, though I have yet to make that jump as the coffee is usually gone before it starts to cool down too much.The water filter was good for about a month, and I haven't replaced it since, I just use the maker without it and have had no issues. The water where I live isn't hard or soft, so there's no real need for filtering. The filter is just a carbon filter which would remove little more than odor or taste from the water. I didn't see it as useful unless you had issues with your water.It looks decent on the countertop, and doesn't take up too much room. The lid is a bit cumbersome as it is quite large and can't be opened under my cabinets, but it's really a non-issue as it is easy to move around.If it stopped working today I would buy another without hesitation, but it's so simple I doubt that it will go wrong before several years of use."
Scared Guy,2.0,"June 20, 2017","Like the machine, like the coffee, however after 14 months it just stopped brewing.  Everything lights up, but it does nothing.  Doing research, I see that this is a very common problem, many instances of exact same problem listed in Amazon reviews.  So I called the help number to see if 'Mr Coffee' cared, bottom line...no really they do not care.  Will gladly sell my another machine at full price, but they also admit they have not addressed this problem, and cannot say it would not happen again.  So please avoid this and any other Mr Coffee products."
Brad,1.0,"February 1, 2017","This is a pretty decent coffee maker for the price you pay. However, I have to rate 2/5 because of an issue I've been having since I got this. Every once in a while, the coffee grounds get all over the place and into the coffee pot itself. This isn't caused by a poorly placed coffee filter in the cup, nor is it from overloading it with coffee grounds. Everything is as neat and in place as it should be, but it still makes a mess. It has also managed to put the coffee everywhere but in the pot, which is strange beyond belief. I'm not sure what causes all these issues, but I think I may look for a different one.UPDATE JUL. 5, 2017: Down to one star now since it burnt itself out. It turns on but doesn't heat up/brew. There are cheaper products that last much longer. I got this half a year ago, so this model is not the most reliable."
BEC,4.0,"February 28, 2014","We've been using Mr Coffee makers for years now. They make good coffee, keep it hot, don't cost too much and are, for us the best value on the market. We stepped up a level for this one because the Amazon price was right. We normally don't go for the fancy features. All we need is auto shut off.Anyhow, this pot works great. Surprisingly, the ""stronger"" setting actually works. What is does, I have no idea, but the coffee tastes stronger when we use the setting. The machine is attractive and easy to use.Just some quibbles:The lid for accessing the coffee holder and water reservoir opens to the side, instead of front to back. This requires pulling the machine further out on the counter and turning it, which sometimes pulls out the plug. Annoying.Another effect of this opening style is that it's more difficult to pour water into the machine, especially for a lefty, than with our earlier, simpler machines.These are really minor quibbles, but hey, that's what a review is for."
Rich C,1.0,"August 7, 2015","I tried two of these devices and both have the same design defect. The coffee basket has only one point of support (shower head) to hold down the coffee basket. Because of this issue, the basket raises up when the decanter is placed into the machine. The reason for this is that the basket's valve (at the bottom) is spring loaded and the top of the decanter pushes the basket up rather that opening the spring loaded valve. If the manufacturer simply put a tongue in groove tab at the front of the basket so that this point is held firmly in place, then possibly the shower head can hold the back side of the basket in place. Even that solution though requires that there is a tighter fit between the shower head and the basket. As a confirmation to my premise, I was able to easily rig the basket to stay in place by using two spring clips, one in front & one at the rear of the basket. I sent both devices back though because the product should never have been placed on the market in this state."
Dawn M.,5.0,"March 1, 2015","It's a coffee maker.  Not rocket science here.  I had a Keurig that bit the dust after a year and a half, and when I took it apart to try some of the on-line trouble-shooting suggestions, I couldn't get it back together.  But I'm a serious addict, and have to have my coffee, so I did the usual on-line research to see which was the best cup of coffee for the money.  I like this unit a lot.  If anything I'm drinking more coffee than I used to, so I'm spending more in that regard, but while that's in part this coffee maker's fault, how bad can it be that your coffee maker makes such a good cup that you want more?  I don't know - you be the judge.  But I like the coffee better than the coffee I got out of my Keurig.  I didn't bother with the metal insulated carafe - the two hours of heating is plenty for my purposes.  I like the extra filtration of the water, although I haven't had to replace that filter yet so I don't know how much that costs - I think it's around $6, and the units apparently are recommended to be changed every 2-3 months, since mine came in January or February (I can't recall, honestly) and ""April"" was already set on the filter frame for me.  I also like the ""strong brew"" setting - never could get a rich-enough cup out of the Keurig no matter how much coffee I tried to pack into the K-cup basket, and this is a nice option on this unit.  Haven't tried all the pre-programming features - I really like fresh-ground beans and fresh water, so I probably never will use that feature anyway.  Nice cup of coffee though - great unit for the money."
Phil,5.0,"April 12, 2012","For the past 4 years, we've used a Cuisinart DCC-1200 that has been okay, as long as I would dismantle it (twice) to adjust the contacts on the on/off switch. The unit would turn off during a brew cycle due to a faulty switch connection. We decided to pass on getting a replacement unit and settled on this Mr Coffee model, mostly based on the high rating in Consumers Reports. After reading some of the reviews here on Amazon, I wondered if it would be a wise decision, as no one wants their coffee leaking from the decanter onto the floor or counter top or smelling like burnt plastic.Those who complained about the leaking problem are either putting out a scam review, or they have a different model than the one we received. I tested the glass decanter, and there was NO WAY I could get it to drip over the side. It poured directly into the cup with no dribbling. I tried pouring it very slowly and could not get it to run down the side of the decanter. One reviewer said she had to 'lift the cheap plastic lid' in order to pour the coffee. Well, I don't know where that bit of info came from, but the lid is not cheap plastic, and you don't have to lift it at all.....hmmmm.We ordered the optional thermal decanter and it is very solid. It has an 8 cup capacity and has no pouring issues either.The coffee quality is as good as your water and coffee can provide. It brews quickly and gives you a hot cup of coffee, at the right temperature. I did not detect any off-tastes due to plastic. I did smell a bit of plastic during the first brewing, but this is normal for new appliances that are heated. The plastic is 'off-gassing' some of the volatiles and this should subside after a few uses.The unit is very well-designed and looks great on our counter. It is actually shorter than the Cuisinart model and that is a plus for us. The controls are great and easy to use. Setting the clock is intuitive, and programming it for a delayed brew is very easy. It is also a 'smart' unit, in that it senses when you are using the thermal decanter, and automatically turns off the hot plate under the decanter. It also has a button that lets you see how long it has been since the coffee was brewed. As far as I can tell, it will heat the glass decanter for 2 hours, before it beeps 3 times, then shuts off. With the metal decanter, the unit shuts off immediately after brewing (no lights are on). The LCD showing the time is easy to read, but you need to bend over to see it. The instruction manual says there is a red light that will light when it's time to clean the unit, but I can't find this light anywhere.The unit is easy to fill and the water level can be seen easily in the gauge on the right rear. If you need a cup of coffee before it is finished brewing, you can pull the decanter away, and it gives you 30 seconds to pour a cup, then replace the decanter. I detected no leakage of coffee when I did this (contrary to what some other reviewers have claimed).Make sure you have some basket-type coffee filters (not cones), or have ordered the optional permanent filter basket, since these are not provided with the unit.The unit also has a water filter and holder that fits over the basket and under the water 'shower head'. I'm not sure this is a good design for the filter, since it is another item you need to install before every pot, then clean afterwards. The Cuisinart had a drop-in water filter, that worked before the water entered the brewer. I like this better. We don't use any filters since we use filtered water from the fridge.All-in-all, this is a great coffee maker at a very decent price. The option to get a thermal decanter for it is a big plus for us, as we will be pouring less coffee down the drain in the future.  I expect to get many good pots of coffee from this coffeemaker. If I find otherwise, I will update this review."
"Not A Lot Of Money ""Mom""",4.0,"April 7, 2015","Replaced my former Mr. Coffee maker with this one when the other one just decided it wasn't going to make coffee anymore, suddenly.  I like the sleek design of this one better. Coffee is really hot when done, which is a MUST for my husband. You can adjust the strength of the coffee too.  It really makes the perfect pot of coffee and my husband likes that you can turn on the signal that beeps to let you know the coffee is done so you'll know to come and get it.  No need to keep checking, if you're in another room.  We have a permanent mesh (washable) filter which I always like much more than the paper ones.  No chance of coffee grinds skipping over a paper filter that is not inserted just ""exactly"" perfectly.  And, again, it's a really nice design to the unit itself.  I also like that it's not a glossy black finish.  My prior one was and it showed smudges and fingerprints a lot.  This one doesn't.  Easy to just wipe the exterior casing with a damp or dry cloth.Can't think of any negatives EXCEPT a couple of incidental ones, which took away one star. With my prior coffee maker, the ""cleaning cycle"" was easier. If you're not familiar with this, it is advised/suggested that you clean your coffee maker's coffee making parts at suggested intervals to remove mineral deposits which can damage your machine. With my former Mr. Coffee machine, you put the specified amount of vinegar (or separately bought cleaning solution made for this purpose) in the water well and it would process the initial amount of the vinegar and then ""sit"" for the specific time required for the cleaning cycle to do it's thing and then automatically release the rest of the vinegar through the system at the appropriate time.  THIS one doesn't do that.  It does have a clean cycle but, after putting in the vinegar, you must manually dispense X amount of the cleaning solution (i.e. vinegar) then stop the coffee maker for the specified time and then, again, manually start the dispensing of the vinegar again until it all runs through the unit.  This means you must be looking at the clock while cleaning this unit to determine when to do what.  The prior one did it on it's own.  All I needed to do was (as with this one), follow up with brewing full pots of WATER a couple of times then, to make sure all the vinegar is rinsed out.  Not a big deal to do. Also, I don't know what's with the ""pot"". We wash it but it stains from the coffee anyway.  Wonder if it's a glass mixture, if there is such a thing. When I first noticed the light staining/slight discoloration of the coffee pot, I noticed then that the ""glass"" didn't feel totally like glass.  I'm afraid to scrub the pot for fear of scratching it. We KNOW the pot's clean because we know we've washed it so, for us it's not a big deal but I'd be embarrassed if I had someone over for coffee and they saw that it looks like we just emptied the coffee out, and made another pot without cleaning the pot. When it goes through the cleaning cycle, these discolorations disappear but, I'm not going to soak the pot in vinegar every night! It's not really dark staining or discolorations so please don't let that stop you from buying this.  Or, maybe it's just the pot that I got.BUT, really, all in all, the discoloration of the pot is a minor thing.  And, the different ""clean cycle"" is a minor thing.  If something happened to this one and I needed to buy another one, I'd buy this one again!  What's most important is if it makes a good pot of coffee and this one does! We use regular, canned coffee and this brewer does a good job with it.  And, it's a HOT pot of coffee -- some coffee makers lack that and initially serve mildly hot coffee, until it heats more while sitting there.  I've tried various coffee makers.  This one's really good at doing what it's supposed to do."
Jacqueline C,1.0,"December 28, 2018","I've had this coffee pot for about 2 years and the clock stopped working, so delay brew is no longer an option.  I asked a parts company if they had a replacement part for that, they told me to check with the manufacturer.  When I contacted the manufacturer to obtain the part, their reply was, ""Our staff has read your question and values your contribution even though it did not meet all our website guidelines. Thanks for sharing, and we hope to publish next time!""  What a RIP OFF!!!  I've never had a manufacturer that didn't want you to love their product.  They clearly don't stand by their products and don't give a crap how long it lasts and want you to continue buying their poop every couple of years...fill up those landfills!"
J. E. N.,1.0,"February 21, 2014","I read a lot of reviews and for the money this seemed like a good choice. It's easy to use and I like the functionality (timers, settings) but I have 3 main issues with this machine.1) I've noticed that if I get a cup right when it's done brewing the coffee it is not hot enough. I have to put my cup in the microwave for 30 seconds. Once it sits on the warmer for a while it does get hot so I just set the timer to make the coffee earlier than I need it. 2) Before I got the gold mesh basket and was just using a paper filter, often, even though I put a full carafe of water into the reservoir I'd only get about a half pot of finished coffee. I discovered that the water was backing up into the machine and realized that the basket with the filter and coffee grounds did not have enough weight (or something) to push the spring down to open the bottom of the basket so the water could drain into the pot. It was a mess! I thought I was going to have to send it back but once I got the gold mesh filter the coffee maker has worked like it is supposed to. The coffee maker's basket does not lock into place like other coffee makers I have owned so if there is not enough pressure in the basket the liquid can't exit through the bottom.3) This coffee make is noisy and VERY slow. The first time I used it I set it to come on 30 min before I had to get up. I was awakened by what sounded like someone breaking into my house... scared me to death. I got up only to discover it was the coffee maker. It takes this coffeemaker a good 15+ min to make a full pot of coffee...very slow by comparison of other makers I've owned.I've worked around the issues I've had with this machine but I wouldn't buy another one or recommend this one to anyone.Been using this coffee maker almost a year now. Broke the glass carafe last week so tried to order a replacement... Mr. Coffee doesn't make a glass replacement. There is a stainless steel thermos which is more expensive and doesn't hold 12 cups. I ordered a universal fit 12 cup carafe which says it fits my coffee machine but it did not. Perhaps if I had kept the top to the carafe I broke I might have been able to make the replacement carafe work. I can't believe I'll have to buy a new coffee maker just because I broke the glass carafe. One more reason I won't buy another Mr. Coffee anything!"
TexasAgain,4.0,"January 30, 2014","Quiet, quick, fairly easy to use.Button panel is a bit crowded, but I do like that it beeps when the coffee is done.  The taste of coffee is okay; I am not a coffee expert, so I can't elaborate more than to say I find the taste okay and my husband likes it a bit more than I do.The big DOWNSIDE to this is its carafe.  The plastic handle & lid seem cheap and hollow.  The lightweight handle is ill-positioned and causes the center of gravity to be misplaced.  It simply does not balance well in my hand when the pot is full.8 month update:Coffee maker is dying.  In the past couple of days, it has refused to let me manually turn it off.  I usually turn it off after brewing to keep the coffee from burning on the hot plate.  Now, it flashes 2 or 3 lights but won't turn off.  We had to unplug it.  Last night, it only brewed 10 of 12 cups.Upside -- Customer Service at Mr. Coffee is GREAT.  The rep immediately diagnosed the problem and is sending out a replacement coffee maker.  She asked if the machine has been releasing more steam than usual; it has.  It turns out that even the build up of condensation in the clock is a symptom of its problem.  There is an issue with the heating element malfunctioning.  She couldn't say exactly what went wrong with the element, but was able to diagnose it sufficiently to warrant sending us a new one.  She said it would likely completely stop working in the next week, so we called just in time!2nd UPDATE:  2 days after I called customer service, the coffee maker died entirely.  We haven't received a shipping notice, so we may have 2 to 3 weeks before the new coffee maker arrives.  I think I will buy another brand and keep the replacement Mr. Coffee as spare.So, although I wouldn't repurchase this particular item, I would consider another Mr. Coffee in the future, since their customer service is so great, if the ratings are high enough."
Chris F,4.0,"March 5, 2014","Like a number of other recent reviews, my first Mr. Coffee BVMC-SJX33GT unit had the issue that if you selected the ""Strong"" brew strength, the unit would sound the end-of-brewing cycle '3-beeps' about 45 seconds into starting the pot of coffee and not brewing after that (had to turn unit off and back on using ""Regular"" strength setting to complete brewing).  This happened with both the Glass and Thermal carafes.I called Mr. Coffee and their customer service was outstanding.  The person I spoke to was incredibly quick to understand the issue, offered to send a replacement of the same type of machine, or a different machine if I wanted.  She knew that the issue I had has something they are seeing in current production and sent me a return label for the machine so it could go to their quality control dept. to examine.  She made it clear that I should keep all the filter, brew basket, and carafe as spares - they just wanted the unit back for analysis.Well, the new unit works perfectly.  It even seems to make slightly hotter coffee (measured just over 190F in the carafe for a freshly brewed pot), which is about 5 degrees warmer than previously - and enough to notice the difference.I use whole bean dark roasts and the quality of the brewed coffee has been excellent with this coffee maker.  I'm happy to have the brew strength working as well now, but the ""regular"" setting also made very good coffee.  I also purchased the optional Thermal Carafe, which is very well made and provides a nice option when I want to use it.A decent looking and good performing coffee maker if you don't get a defective one.  If you do get a defective one, Mr. Coffee's customer service seems to be excellent (which is very hard to find today)."
